row_id,id,cluster_id
1,122461,5
2,122463,5
3,122466,5
4,122480,5
5,122484,5
6,122485,5
7,122491,28
8,122510,28
9,122511,28
10,122512,28
11,122514,5
12,122519,5
13,122531,5
14,122532,5
15,122543,5
16,122544,5
17,122550,28
18,122565,28
19,122573,28
20,122575,28
21,122576,28
22,122577,28
23,122579,5
24,122584,5
25,122597,5
26,122608,5
27,122609,5
28,122615,28
29,122624,28
30,122639,28
31,122640,28
32,122641,28
33,122642,28
34,122644,5
35,122649,5
36,122663,5
37,122675,5
38,122704,28
39,122708,28
40,122710,5
41,122716,5
42,122717,5
43,122731,5
44,122744,5
45,122751,28
46,122754,28
47,122777,28
48,122779,28
49,122781,28
50,122790,5
51,122804,5
52,122811,5
53,122824,28
54,122851,28
55,122853,28
56,122857,5
57,122865,5
58,122869,5
59,122877,5
60,122889,28
61,122901,28
62,122902,28
63,122904,28
64,122924,5
65,122930,5
66,122935,5
67,122941,28
68,122944,28
69,122952,28
70,122962,28
71,122966,28
72,122969,28
73,122971,28
74,122973,28
75,122975,5
76,122976,5
77,122977,5
78,122980,5
79,122981,5
80,122982,5
81,122983,5
82,122985,5
83,122986,5
84,122987,5
85,122989,5
86,122990,5
87,122995,5
88,122998,5
89,123000,5
90,123001,5
91,123002,5
92,123003,5
93,123007,28
94,123028,28
95,123035,5
96,123037,5
97,123038,5
98,123042,5
99,123043,5
100,123046,5
101,123047,5
102,123048,5
103,123050,5
104,123051,5
105,123057,5
106,123060,5
107,123061,5
108,123062,5
109,123063,5
110,123078,28
111,123085,28
112,123094,5
113,123096,5
114,123097,5
115,123098,5
116,123101,5
117,123102,5
118,123103,5
119,123104,5
120,123106,5
121,123107,5
122,123108,5
123,123110,5
124,123117,5
125,123120,5
126,123123,5
127,123124,5
128,123125,5
129,123126,5
130,123131,28
131,123134,28
132,123152,28
133,123161,5
134,123163,5
135,123164,5
136,123168,5
137,123169,5
138,123170,5
139,123172,5
140,123173,5
141,123174,5
142,123176,5
143,123181,5
144,123183,5
145,123186,5
146,123189,5
147,123190,5
148,123191,5
149,123192,5
150,123197,28
151,123205,28
152,123218,28
153,123227,5
154,123229,5
155,123230,5
156,123233,5
157,123234,5
158,123237,5
159,123239,5
160,123240,5
161,123241,5
162,123243,5
163,123249,5
164,123252,5
165,123255,5
166,123256,5
167,123257,5
168,123262,28
169,123271,28
170,123280,28
171,123283,28
172,123291,5
173,123293,5
174,123294,5
175,123298,5
176,123299,5
177,123302,5
178,123303,5
179,123305,5
180,123306,5
181,123307,5
182,123309,5
183,123316,5
184,123319,5
185,123322,5
186,123323,5
187,123324,5
188,123325,5
189,123364,6
190,123365,6
191,123368,6
192,123371,6
193,123373,6
194,123382,6
195,123385,6
196,123388,6
197,123389,6
198,123424,6
199,123429,6
200,123439,6
201,123470,29
202,123483,6
203,123489,6
204,123500,6
205,123502,6
206,123518,29
207,123543,6
208,123548,6
209,123550,6
210,123563,6
211,123570,6
212,123579,29
213,123595,29
214,123608,6
215,123614,6
216,123616,6
217,123618,6
218,123633,6
219,123638,6
220,123647,29
221,123684,6
222,123686,6
223,123698,6
224,123701,6
225,123705,6
226,123714,29
227,123719,29
228,123749,6
229,123751,6
230,123770,6
231,123786,29
232,123799,29
233,123802,29
234,123814,6
235,123816,6
236,123829,6
237,123836,6
238,123845,29
239,123851,29
240,123883,6
241,123924,29
242,123948,6
243,123976,29
244,123983,29
245,124012,6
246,124032,6
247,124042,29
248,124057,29
249,124065,29
250,124080,6
251,124093,6
252,124133,29
253,124275,30
254,124284,7
255,124308,7
256,124336,30
257,124403,30
258,124471,30
259,124479,8
260,124506,8
261,124538,30
262,124576,8
263,124605,30
264,124629,8
265,124646,8
266,124696,8
267,124739,31
268,124750,8
269,124786,31
270,124796,31
271,124822,8
272,124900,8
273,124954,8
274,124997,32
275,125012,32
276,125073,32
277,125077,32
278,125123,32
279,125132,32
280,125143,32
281,125147,32
282,125152,32
283,125212,32
284,125264,32
285,125332,32
286,125333,32
287,125346,32
288,125362,9
289,125363,9
290,125453,9
291,125477,33
292,125488,33
293,125492,9
294,125494,9
295,125545,33
296,125547,33
297,125598,33
298,125612,33
299,125652,10
300,125669,33
301,125683,33
302,125687,33
303,203270,12
304,203274,12
305,203277,12
306,203280,12
307,203291,34
308,203295,12
309,203298,12
310,203301,12
311,203310,12
312,203319,34
313,203322,34
314,203325,12
315,203328,12
316,203341,12
317,203355,34
318,203361,12
319,203366,12
320,203378,12
321,203389,34
322,203392,34
323,203397,12
324,203402,12
325,203413,12
326,203422,34
327,203426,34
328,203433,12
329,203443,12
330,203447,12
331,203463,34
332,203464,34
333,203471,12
334,203484,12
335,203497,34
336,203502,12
337,203514,12
338,203563,13
339,203574,13
340,203592,13
341,203600,13
342,203603,13
343,203620,35
344,203626,13
345,203629,13
346,203639,13
347,203644,13
348,203674,13
349,203681,13
350,203695,36
351,203711,13
352,203756,13
353,203781,13
354,203814,13
355,203815,13
356,203818,13
357,203825,13
358,203854,13
359,203865,13
360,203908,13
361,203937,13
362,203948,13
363,203985,13
364,204016,13
365,204031,13
366,204037,37
367,204046,37
368,204059,13
369,204062,13
370,204074,13
371,204086,37
372,204087,37
373,204095,14
374,204103,14
375,204105,14
376,204111,14
377,204123,37
378,204136,14
379,204143,14
380,204203,38
381,204209,38
382,204285,39
383,204324,39
384,204369,15
385,204407,15
386,204418,15
387,204439,40
388,204441,40
389,204442,40
390,204449,15
391,204459,15
392,204515,41
393,204530,16
394,204577,16
395,204599,42
396,204618,16
397,204652,16
398,204701,16
399,204768,17
400,204810,17
401,204814,17
402,204923,43
403,204944,18
404,205003,44
405,205005,44
406,205024,19
407,205044,44
408,205072,19
409,205088,44
410,205110,19
411,205114,19
412,205130,44
413,206080,20
414,206081,20
415,206082,20
416,206083,21
417,206084,21
418,206085,21
