id,id_harga_beras,id_group
1,4070,1
2,4072,60
3,4074,2
4,4076,61
5,4078,2
6,4080,61
7,4082,3
8,4085,62
9,4086,62
10,4088,62
11,4089,3
12,4093,3
13,4094,3
14,4097,3
15,4105,3
16,4107,3
17,4109,3
18,4111,3
19,4121,62
20,4122,62
21,4125,62
22,4133,62
23,4135,62
24,4137,62
25,4139,62
26,4145,3
27,4147,3
28,4151,3
29,4152,3
30,4155,3
31,4166,3
32,4170,3
33,4171,3
34,4173,3
35,4175,3
36,4183,62
37,4187,62
38,4188,62
39,4191,62
40,4198,62
41,4206,62
42,4209,62
43,4211,62
44,4217,3
45,4219,3
46,4222,3
47,4226,3
48,4234,3
49,4237,3
50,4239,3
51,4241,3
52,4249,62
53,4252,62
54,4253,62
55,4256,62
56,4260,62
57,4267,62
58,4269,62
59,4271,62
60,4277,3
61,4279,3
62,4282,3
63,4286,3
64,4296,3
65,4300,3
66,4302,3
67,4304,3
68,4313,62
69,4316,62
70,4320,62
71,4327,62
72,4336,62
73,4338,62
74,4341,62
75,4345,3
76,4347,3
77,4351,3
78,4363,3
79,4365,3
80,4367,3
81,4375,62
82,4380,62
83,4396,62
84,4402,3
85,4404,3
86,4409,3
87,4423,3
88,4427,3
89,4434,62
90,4438,62
91,4439,62
92,4446,62
93,4457,62
94,4462,3
95,4468,3
96,4469,3
97,4472,3
98,4488,3
99,4492,3
100,4505,62
101,4506,62
102,4509,62
103,4516,62
104,4529,62
105,4532,62
106,4536,3
107,4542,3
108,4546,3
109,4549,3
110,4562,3
111,4564,3
112,4566,3
113,4580,62
114,4581,62
115,4584,62
116,4591,62
117,4604,62
118,4607,62
119,4612,3
120,4618,3
121,4622,3
122,4625,3
123,4637,3
124,4641,3
125,4654,62
126,4655,62
127,4658,62
128,4665,62
129,4677,62
130,4680,62
131,4689,3
132,4690,3
133,4693,3
134,4708,3
135,4712,3
136,4725,62
137,4726,62
138,4729,62
139,4735,62
140,4748,62
141,4751,62
142,4756,3
143,4762,3
144,4763,3
145,4766,3
146,4769,3
147,4782,3
148,4786,3
149,4800,62
150,4801,62
151,4804,62
152,4811,62
153,4824,62
154,4827,62
155,4832,3
156,4838,3
157,4839,3
158,4842,3
159,4845,3
160,4857,3
161,4861,3
162,4875,62
163,4876,62
164,4879,62
165,4886,62
166,4898,62
167,4901,62
168,4906,3
169,4907,3
170,4911,3
171,4915,3
172,4918,3
173,4931,3
174,4935,3
175,4943,62
176,4947,62
177,4951,62
178,4958,62
179,4971,62
180,4976,62
181,4978,3
182,4983,3
183,4984,3
184,4987,3
185,4990,3
186,5001,3
187,5003,3
188,5005,3
189,5018,62
190,5022,62
191,5028,62
192,5038,62
193,5040,62
194,5043,62
195,5048,3
196,5054,3
197,5058,3
198,5073,3
199,5075,3
200,5077,3
201,5091,62
202,5095,62
203,5102,62
204,5112,62
205,5114,62
206,5117,62
207,5120,62
208,5122,3
209,5128,3
210,5132,3
211,5147,3
212,5149,3
213,5151,3
214,5165,62
215,5169,62
216,5176,62
217,5186,62
218,5188,62
219,5191,62
220,5194,62
221,5196,3
222,5206,3
223,5221,3
224,5223,3
225,5225,3
226,5230,3
227,5239,62
228,5243,62
229,5249,62
230,5251,62
231,5260,62
232,5262,62
233,5265,62
234,5268,62
235,5270,3
236,5292,3
237,5294,3
238,5296,3
239,5309,62
240,5317,62
241,5319,62
242,5328,62
243,5330,62
244,5333,62
245,5336,62
246,5338,3
247,5344,3
248,5345,3
249,5348,3
250,5364,3
251,5366,3
252,5368,3
253,5382,62
254,5386,62
255,5393,62
256,5395,62
257,5404,62
258,5406,62
259,5409,62
260,5414,3
261,5420,3
262,5421,3
263,5424,3
264,5439,3
265,5441,3
266,5443,3
267,5457,62
268,5461,62
269,5467,62
270,5469,62
271,5478,62
272,5480,62
273,5483,62
274,5486,62
275,5488,3
276,5494,3
277,5495,3
278,5498,3
279,5514,3
280,5516,3
281,5518,3
282,5531,62
283,5535,62
284,5542,62
285,5544,62
286,5553,62
287,5555,62
288,5562,3
289,5568,3
290,5569,3
291,5572,3
292,5588,3
293,5590,3
294,5592,3
295,5606,62
296,5610,62
297,5617,62
298,5619,62
299,5628,62
300,5630,62
301,5644,3
302,5648,3
303,5664,3
304,5666,3
305,5668,3
306,5682,62
307,5686,62
308,5693,62
309,5695,62
310,5704,62
311,5706,62
312,5709,62
313,5718,3
314,5722,3
315,5737,3
316,5739,3
317,5741,3
318,5753,62
319,5757,62
320,5765,62
321,5774,62
322,5776,62
323,5779,62
324,5790,3
325,5794,3
326,5810,3
327,5812,3
328,5814,3
329,5828,62
330,5832,62
331,5841,62
332,5850,62
333,5852,62
334,5855,62
335,5867,3
336,5876,3
337,5884,3
338,5886,3
339,5888,3
340,5902,62
341,5903,62
342,5913,62
343,5922,62
344,5924,62
345,5927,62
346,5938,4
347,5939,4
348,5960,4
349,5962,4
350,5976,63
351,5977,63
352,5989,63
353,5998,63
354,6000,63
355,6003,63
356,6013,4
357,6014,4
358,6035,4
359,6037,4
360,6050,63
361,6051,63
362,6063,63
363,6072,63
364,6074,63
365,6077,63
366,6082,4
367,6089,4
368,6110,4
369,6112,4
370,6125,63
371,6127,63
372,6139,63
373,6148,63
374,6150,63
375,6158,4
376,6165,4
377,6185,4
378,6187,4
379,6201,63
380,6221,63
381,6223,63
382,6236,4
383,6256,4
384,6258,4
385,6272,63
386,6283,63
387,6292,63
388,6294,63
389,6302,4
390,6309,4
391,6331,4
392,6346,63
393,6357,63
394,6366,63
395,6368,63
396,6376,4
397,6402,4
398,6404,4
399,6427,63
400,6430,63
401,6438,63
402,6440,63
403,6448,4
404,6476,4
405,6478,4
406,6492,63
407,6505,63
408,6514,63
409,6516,63
410,6520,63
411,6524,4
412,6550,4
413,6552,4
414,6566,63
415,6586,63
416,6588,63
417,6596,4
418,6624,4
419,6626,4
420,6640,63
421,6653,63
422,6662,63
423,6664,63
424,6672,4
425,6679,4
426,6699,4
427,6701,4
428,6714,63
429,6715,63
430,6727,63
431,6735,63
432,6737,63
433,6744,4
434,6751,4
435,6771,4
436,6786,63
437,6787,63
438,6799,63
439,6807,63
440,6816,4
441,6823,4
442,6842,4
443,6857,63
444,6858,63
445,6877,63
446,6886,4
447,6915,4
448,6928,63
449,6941,63
450,6951,63
451,6964,4
452,6987,4
453,7000,63
