id,deskripsi
1,"Berdekatan dengan hari besar:
- Lunar New Year (12-02-2021)"
2,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)

Terjadi peristiwa:
- Menurut media Tabloid Sinar Tani, pada 09 Mar 2021, Harga Cabai Rawit Kembali bikin Pedas Konsumen"
3,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)
- Good Friday (02-04-2021)

Terjadi peristiwa:
- Menurut media Ngopibareng.id, pada 10 Apr 2021, Jatim Masuki Musim Pancaroba, BPBD: Waspadai Angin Puting Beliung
- Menurut media Ruang Energi, pada 05 Apr 2021, Pertamina Antisipasi Dampak Cuaca Ekstrim di NTT » Berita energi & Minerba Hari Ini
- Menurut media ANTARA News, pada 15 Mar 2021, Banjir Lamongan rendam 5.947 rumah di enam kecamatan
- Menurut media Tabloid Sinar Tani, pada 05 Apr 2021, Rain Shelter, Amankan Tanaman Cabai saat Musim Hujan"
4,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)

Terjadi peristiwa:
- Menurut media MONITOR.CO.ID, pada 15 Apr 2021, Awas, 23 Wilayah Ini Berpotensi Alami Cuaca Ekstrim
- Menurut media Kompasiana.com, pada 21 Apr 2021, Kebangkitan Petani Muda Milenial
- Menurut media ZonaPasar.com, pada 14 Apr 2021, PLN UID Jabar Kirimkan Tim Tanggap Darurat Bencana ke NTT"
5,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)"
6,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
7,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
8,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)
- Vesak Day (26-05-2021)"
9,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)"
10,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)
- Pancasila Day (01-06-2021)"
11,"Berdekatan dengan hari besar:
- Pancasila Day (01-06-2021)"
12,Tidak ditemukan peristiwa dalam periode tersebut.
13,Tidak ditemukan peristiwa dalam periode tersebut.
14,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)
- Islamic New Year (11-08-2021)
- Independence Day (17-08-2021)

Terjadi peristiwa:
- Menurut media Antara News jatim, pada 27 Jul 2021, Olimpiade Tokyo: Arif Dwi Pangestu terkecoh embusan angin kencang
- Menurut media CNN Indonesia, pada 07 Jul 2021, Jawa Timur Diterpa Cuaca Dingin, BMKG Sebut Fenomena Bediding
- Menurut media Kompas.tv, pada 10 Aug 2021, Rawan Bencana Alam, KKP Pasang Rambu Peringatan Dini dan Jalur Evakuasi Sejumlah Pesisir
- Menurut media Gresspedia, pada 26 Jun 2021, Menilik Cafe & Resto Bintang Shofa Gresik Yang Baru Saja Opening"
15,"Berdekatan dengan hari besar:
- Independence Day (17-08-2021)"
16,"Berdekatan dengan hari besar:
- Independence Day (17-08-2021)"
17,Tidak ditemukan peristiwa dalam periode tersebut.
18,Tidak ditemukan peristiwa dalam periode tersebut.
19,Tidak ditemukan peristiwa dalam periode tersebut.
20,Tidak ditemukan peristiwa dalam periode tersebut.
21,Tidak ditemukan peristiwa dalam periode tersebut.
22,Tidak ditemukan peristiwa dalam periode tersebut.
23,"Berdekatan dengan hari besar:
- Prophet's Birthday (20-10-2021)"
24,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)

Terjadi peristiwa:
- Menurut media ANTARA News Bangka Belitung, pada 05 Dec 2021, KSOP Tanjung Pandan imbau nahkoda kapal waspadai cuaca ekstrem
- Menurut media TVRI News, pada 04 Dec 2021, Sebaran Debu Vulkanik Gunung Semeru Sudah Memasuki Samudera Hindia
- Menurut media jatimnow.com, pada 18 Dec 2021, Rumah Warga Probolinggo Disambar Petir, Atap dan Plafon Jebol
- Menurut media Hallo Malang, pada 27 Dec 2021, 38 Rumah di Kabupaten Malang Rusak Diterjang Hujan Deras dan Angin Kencang
- Menurut media Bisnis.com, pada 06 Dec 2021, Pakar Geologi Unpad Ungkap Erupsi Gunung Semeru Tidak Terjadi Tiba-tiba, Tapi...
- Menurut media Suara Surabaya, pada 24 Nov 2021, Jetski Adventure, Daya Tarik Baru Wisata Surabaya
- Menurut media Bisnis.com, pada 05 Dec 2021, Ahli Vulkanologi ITB Ungkap Penyebab Gunung Semeru Meletus"
25,"Berdekatan dengan hari besar:
- New Year's Day (01-01-2021)"
26,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)"
27,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)"
28,"Berdekatan dengan hari besar:
- Good Friday (02-04-2021)

Terjadi peristiwa:
- Menurut media Ruang Energi, pada 05 Apr 2021, Pertamina Antisipasi Dampak Cuaca Ekstrim di NTT » Berita energi & Minerba Hari Ini
- Menurut media Tabloid Sinar Tani, pada 05 Apr 2021, Rain Shelter, Amankan Tanaman Cabai saat Musim Hujan"
29,"Berdekatan dengan hari besar:
- Good Friday (02-04-2021)"
30,"Berdekatan dengan hari besar:
- Good Friday (02-04-2021)

Terjadi peristiwa:
- Menurut media Ngopibareng.id, pada 10 Apr 2021, Jatim Masuki Musim Pancaroba, BPBD: Waspadai Angin Puting Beliung"
31,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)

Terjadi peristiwa:
- Menurut media MONITOR.CO.ID, pada 15 Apr 2021, Awas, 23 Wilayah Ini Berpotensi Alami Cuaca Ekstrim
- Menurut media Kompasiana.com, pada 21 Apr 2021, Kebangkitan Petani Muda Milenial"
32,"Berdekatan dengan hari besar:
- International Labor Day (01-05-2021)
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
33,"Berdekatan dengan hari besar:
- Ascension Day; Eid al-Fitr (13-05-2021)
- Eid al-Fitr Second Day (14-05-2021)"
34,"Berdekatan dengan hari besar:
- Vesak Day (26-05-2021)"
35,Tidak ditemukan peristiwa dalam periode tersebut.
36,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)

Terjadi peristiwa:
- Menurut media CNN Indonesia, pada 07 Jul 2021, Jawa Timur Diterpa Cuaca Dingin, BMKG Sebut Fenomena Bediding
- Menurut media Gresspedia, pada 26 Jun 2021, Menilik Cafe & Resto Bintang Shofa Gresik Yang Baru Saja Opening"
37,"Berdekatan dengan hari besar:
- Eid al-Adha (20-07-2021)
- Islamic New Year (11-08-2021)

Terjadi peristiwa:
- Menurut media Antara News jatim, pada 27 Jul 2021, Olimpiade Tokyo: Arif Dwi Pangestu terkecoh embusan angin kencang"
38,"Berdekatan dengan hari besar:
- Islamic New Year (11-08-2021)"
39,"Berdekatan dengan hari besar:
- Islamic New Year (11-08-2021)
- Independence Day (17-08-2021)"
40,Tidak ditemukan peristiwa dalam periode tersebut.
41,Tidak ditemukan peristiwa dalam periode tersebut.
42,Tidak ditemukan peristiwa dalam periode tersebut.
43,Tidak ditemukan peristiwa dalam periode tersebut.
44,Tidak ditemukan peristiwa dalam periode tersebut.
45,Tidak ditemukan peristiwa dalam periode tersebut.
46,Tidak ditemukan peristiwa dalam periode tersebut.
47,Tidak ditemukan peristiwa dalam periode tersebut.
48,"Berdekatan dengan hari besar:
- Prophet's Birthday (20-10-2021)"
49,"Berdekatan dengan hari besar:
- Prophet's Birthday (20-10-2021)"
50,"Berdekatan dengan hari besar:
- Prophet's Birthday (20-10-2021)"
51,Tidak ditemukan peristiwa dalam periode tersebut.
52,"Terjadi peristiwa:
- Menurut media Mongabay.co.id, pada 07 Nov 2021, Bumi Terluka: Bencana Iklim Mengancam Ketahanan Pangan Global"
53,Tidak ditemukan peristiwa dalam periode tersebut.
54,Tidak ditemukan peristiwa dalam periode tersebut.
55,Tidak ditemukan peristiwa dalam periode tersebut.
56,"Terjadi peristiwa:
- Menurut media ANTARA News Bangka Belitung, pada 05 Dec 2021, KSOP Tanjung Pandan imbau nahkoda kapal waspadai cuaca ekstrem
- Menurut media Bisnis.com, pada 06 Dec 2021, Pakar Geologi Unpad Ungkap Erupsi Gunung Semeru Tidak Terjadi Tiba-tiba, Tapi...
- Menurut media Bisnis.com, pada 05 Dec 2021, Ahli Vulkanologi ITB Ungkap Penyebab Gunung Semeru Meletus"
57,Tidak ditemukan peristiwa dalam periode tersebut.
58,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)

Terjadi peristiwa:
- Menurut media jatimnow.com, pada 18 Dec 2021, Rumah Warga Probolinggo Disambar Petir, Atap dan Plafon Jebol"
59,"Berdekatan dengan hari besar:
- Christmas Day (25-12-2021)
- New Year's Day (01-01-2022)"
60,"Berdekatan dengan hari besar:
- Lunar New Year (12-02-2021)"
61,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (11-03-2021)
- Day of Silence (14-03-2021)

Terjadi peristiwa:
- Menurut media Tabloid Sinar Tani, pada 09 Mar 2021, Harga Cabai Rawit Kembali bikin Pedas Konsumen"
